


四川移动组播,#genre#
爱上4K 2160,http://iptv.kjrzxhb.top/rtp/239.11.0.120:5140
CCTV1 1080,http://iptv.kjrzxhb.top/rtp/239.11.0.65:5140
CCTV2 1080,http://iptv.kjrzxhb.top/rtp/239.11.0.108:5140
CCTV3 1080,http://iptv.kjrzxhb.top/rtp/239.11.0.101:5140
CCTV4 1080,http://iptv.kjrzxhb.top/rtp/239.11.0.109:5140
CCTV5 1080,http://iptv.kjrzxhb.top/rtp/239.11.0.100:5140
CCTV5+ 1080,http://iptv.kjrzxhb.top/rtp/239.11.0.241:5140
CCTV6 1080,http://iptv.kjrzxhb.top/rtp/239.11.0.102:5140
CCTV7 1080,http://iptv.kjrzxhb.top/rtp/239.11.0.110:5140
CCTV8 1080,http://iptv.kjrzxhb.top/rtp/239.11.0.103:5140
CCTV9 1080,http://iptv.kjrzxhb.top/rtp/239.11.0.111:5140
CCTV10 1080,http://iptv.kjrzxhb.top/rtp/239.11.0.112:5140
CCTV11 1080,http://iptv.kjrzxhb.top/rtp/239.11.0.22:5140
CCTV12 1080,http://iptv.kjrzxhb.top/rtp/239.11.0.113:5140
CCTV13 1080,http://iptv.kjrzxhb.top/rtp/239.11.0.24:5140
CCTV14 1080,http://iptv.kjrzxhb.top/rtp/239.11.0.114:5140
CCTV15 1080,http://iptv.kjrzxhb.top/rtp/239.11.0.26:5140
CCTV16 2160,http://iptv.kjrzxhb.top/rtp/239.11.0.67:5140
CCTV16 2160,http://iptv.kjrzxhb.top/rtp/239.10.0.187:5140
CCTV17 1080,http://iptv.kjrzxhb.top/rtp/239.11.0.107:5140
CETV1 1080,http://iptv.kjrzxhb.top/rtp/239.11.0.139:5140
CETV2 576,http://iptv.kjrzxhb.top/rtp/239.11.0.246:5140
CETV3 576,http://iptv.kjrzxhb.top/rtp/239.11.0.247:5140
CETV4 576,http://iptv.kjrzxhb.top/rtp/239.11.0.248:5140
CGTN 1080,http://iptv.kjrzxhb.top/rtp/239.11.0.245:5140
CGTV 1080,http://iptv.kjrzxhb.top/rtp/239.11.0.138:5140
CCTV1 576,http://iptv.kjrzxhb.top/rtp/239.11.0.66:5140
CCTV1 576,http://iptv.kjrzxhb.top/rtp/239.11.0.130:5140
四川文化旅游 1080,http://iptv.kjrzxhb.top/rtp/239.11.0.3:5140
四川公共乡村 1080,http://iptv.kjrzxhb.top/rtp/239.11.0.4:5140
四川经济 1080,http://iptv.kjrzxhb.top/rtp/239.11.0.2:5140
四川新闻 1080,http://iptv.kjrzxhb.top/rtp/239.11.0.5:5140
四川影视文艺 1080,http://iptv.kjrzxhb.top/rtp/239.11.0.77:5140
四川妇女儿童 1080,http://iptv.kjrzxhb.top/rtp/239.11.0.8:5140
四川科教 1080,http://iptv.kjrzxhb.top/rtp/239.11.0.194:5140
康巴卫视 1080,http://iptv.kjrzxhb.top/rtp/239.11.0.10:5140
峨眉电影 1080,http://iptv.kjrzxhb.top/rtp/239.11.0.11:5140
四川星空购物 1080,http://iptv.kjrzxhb.top/rtp/239.11.0.125:5140
北京卫视 1080,http://iptv.kjrzxhb.top/rtp/239.11.0.121:5140
河北卫视 1080,http://iptv.kjrzxhb.top/rtp/239.11.0.31:5140
东方卫视 1080,http://iptv.kjrzxhb.top/rtp/239.11.0.68:5140
湖南卫视 1080,http://iptv.kjrzxhb.top/rtp/239.11.0.119:5140
黑龙江卫视 1080,http://iptv.kjrzxhb.top/rtp/239.11.0.36:5140
吉林卫视 1080,http://iptv.kjrzxhb.top/rtp/239.11.0.35:5140
江西卫视 1080,http://iptv.kjrzxhb.top/rtp/239.11.0.42:5140
东南卫视 1080,http://iptv.kjrzxhb.top/rtp/239.11.0.41:5140
河南卫视 1080,http://iptv.kjrzxhb.top/rtp/239.11.0.44:5140
浙江卫视 1080,http://iptv.kjrzxhb.top/rtp/239.11.0.70:5140
深圳卫视 1080,http://iptv.kjrzxhb.top/rtp/239.11.0.71:5140
山东卫视 1080,http://iptv.kjrzxhb.top/rtp/239.11.0.73:5140
湖北卫视 1080,http://iptv.kjrzxhb.top/rtp/239.11.0.74:5140
江苏卫视 1080,http://iptv.kjrzxhb.top/rtp/239.11.0.76:5140
四川卫视 1080,http://iptv.kjrzxhb.top/rtp/239.11.0.78:5140
广东卫视 1080,http://iptv.kjrzxhb.top/rtp/239.11.0.115:5140
广西卫视 1080,http://iptv.kjrzxhb.top/rtp/239.11.0.48:5140
贵州卫视 1080,http://iptv.kjrzxhb.top/rtp/239.11.0.51:5140
甘肃卫视 1080,http://iptv.kjrzxhb.top/rtp/239.11.0.55:5140
重庆卫视 1080,http://iptv.kjrzxhb.top/rtp/239.11.0.116:5140
